"","id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","reviews_per_month","availability_365"
"13994",39817879,"Cozy family room / Habitación familiar acogedora","Chamartín","Hispanoamérica",40.45738,-3.67167,"Private room",70,2,0.06,0
"13995",39825749,"Lugar acogedor y familiar.","Carabanchel","Puerta Bonita",40.38342,-3.73111,"Private room",20,1,0.23,365
"13996",39826158,"Atocha train station, centrally located cozy flat.","Arganzuela","Palos de Moguer",40.40314,-3.69462,"Private room",60,1,0,0
"13997",39827961,"Habitación de invitados 2","Barajas","Timón",40.47139,-3.5852,"Private room",40,1,0.12,365
"13998",39828588,"Habitacion centro Madrid 10 minutos de plaza mayor","Centro","Palacio",40.41333,-3.70775,"Private room",101,1,0,180
"13999",39831307,"Hab centro /tribunal/chamberi/chueca","Chamberí","Trafalgar",40.43225,-3.70191,"Private room",21,7,0.52,168
"14000",39831678,"Cozy Room Great Located!","Arganzuela","Palos de Moguer",40.40116,-3.68928,"Private room",45,2,0.32,0
"14001",39833146,"Apartamento en Madrid","Latina","Aluche",40.38935,-3.75709,"Entire home/apt",75,1,0.34,166
"14002",39833583,"Loft con parking a 10 minutos de aeropuerto ifema","Vicálvaro","Casco Histórico de Vicálvaro",40.41445,-3.58209,"Entire home/apt",60,9,0.46,0
"14003",39833809,"Habitación 2","Arganzuela","Palos de Moguer",40.40653,-3.69329,"Private room",58,2,0.49,90
"14004",39836050,"Casa privada","Ciudad Lineal","Concepción",40.44195,-3.64561,"Private room",100,2,0,177
"14005",39838022,"Habitacion en Madrid","Usera","Almendrales",40.38394,-3.70121,"Private room",22,3,0.47,365
"14006",39839401,"Habitación amplia en Centro de Madrid con balcón","Centro","Embajadores",40.40945,-3.70903,"Private room",29,1,0.06,197
"14007",39842252,"Centric bdr, semi-private bathroom & fastest wifi","Chamberí","Gaztambide",40.43322,-3.71657,"Private room",22,3,0.35,88
"14008",39849499,"Casa estilo mediterráneo en Madrid capital","San Blas - Canillejas","Simancas",40.4296,-3.62755,"Entire home/apt",75,6,0,0
"14009",39850650,"studio en Madrid","San Blas - Canillejas","Simancas",40.43385,-3.6252,"Entire home/apt",36,2,1.29,151
"14010",39853280,"Great apartment in the center of Madrid.","Centro","Embajadores",40.40986,-3.70248,"Entire home/apt",54,1,0.81,116
"14011",39853496,"Retiro City Center","Retiro","Pacífico",40.40632,-3.68253,"Entire home/apt",79,28,0.31,74
"14012",39853548,"Habitación Individual en Barrio del Pilar","Fuencarral - El Pardo","Pilar",40.47764,-3.71104,"Private room",14,7,0.11,90
"14013",39854366,"Sofisticado apartamento de 1 dormitorio Quevedo","Centro","Cortes",40.41515,-3.69697,"Entire home/apt",100,8,0,349
"14014",39854885,"Elegante apartamento, 1 dorm. en la calle Quevedo","Centro","Cortes",40.41351,-3.69849,"Entire home/apt",100,8,0.06,288
